20	182	4	53.3574079	-6.3714236	625000	3
7	124	5	53.3515058	-6.2960043	430000	5
14	116	4	53.2947967	-6.2821518	595000	6
14	84	3	53.2944655	-6.2697407	475000	6
24	104	3	53.3001659	-6.3563517	395000	3
6	70	2	53.3142904	-6.2815422	575000	5
15	148	4	53.3819042	-6.3822293	465000	6
2	74	3	53.3348783	-6.2650163	475000	8
24	73	3	53.290063	-6.3447246	270000	5
16	244	6	53.2831501	-6.330373	769950	6
6	155	3	53.329873	-6.2637997	795000	7
3	55	2	53.3513037	-6.2349949	295000	2
8	60	2	53.3382327	-6.2914777	345000	5
6	372	4	53.3306664	-6.2532141	2950000	6
16	168	5	53.2831501	-6.330373	700000	3
4	52	2	53.330644	-6.2303587	450000	5
9	95	3	53.3839695	-6.2327036	445000	6
2	38	1	53.3426815	-6.245115	325000	8
18	83	3	53.2753874	-6.191113	495000	6
6	135	4	53.3064856	-6.3008039	595000	3
3	57	2	53.3587655	-6.2457256	240000	7
7	60	2	53.3581223	-6.272452	285000	1
4	54	2	53.331959	-6.2159912	345000	1
15	108	3	53.401484	-6.4258953	375000	6
4	85	2	53.3368821	-6.2293415	625000	5
15	103	4	53.386574	-6.3780055	490000	3
18	149	5	53.2343438	-6.1187294	600000	6
3	232	5	53.3630407	-6.2187486	1300000	5
4	196	3	53.3291261	-6.2214049	1250000	6
8	99	3	53.3409708	-6.3238981	445000	5
9	226	5	53.3667409	-6.2700472	800000	5
14	48	2	53.2989843	-6.2845572	325000	1
8	83	3	53.3337649	-6.2798426	550000	5
8	45	1	53.3416066	-6.2990284	190000	1
8	52	2	53.3425185	-6.271268	275000	1
6	71	3	53.3267474	-6.2810512	475000	5
8	63	2	53.3382058	-6.3042729	320000	1
7	52	2	53.3505954	-6.283153	350000	5
22	107	3	53.2969849	-6.4189764	365000	6
8	250	3	53.3359522	-6.2748802	1500000	1
13	77	2	53.401135	-6.1632471	250000	1
18	157	3	53.2546016	-6.2064583	625000	6
9	94	3	53.3904958	-6.2295194	395000	6
8	65	4	53.3378308	-6.3214529	285000	5
6	162	3	53.3164144	-6.2529343	1200000	6
14	138	4	53.3002361	-6.2272692	875000	6
4	82	2	53.3190691	-6.22958	495000	1
13	120	3	53.401761	-6.1541197	345000	7
5	138	3	53.3898876	-6.201814	435000	6
18	232	4	53.2586173	-6.1793275	1500000	3
14	160	4	53.2902529	-6.2922846	750000	6
15	78	2	53.3769656	-6.3152074	315000	1
11	87	3	53.3859469	-6.3174217	215000	7
6	51	1	53.3281559	-6.2574139	425000	1
6	101	3	53.3071911	-6.2807918	545000	1
18	104	3	53.2342977	-6.116319	525000	6
18	104	3	53.2342977	-6.116319	525000	6
6	73	2	53.3267474	-6.2810512	450000	7
6	181	4	53.303109	-6.3012205	1250000	6
11	86	3	53.37784	-6.286575	365000	5
66	110	4	53.2941993	-6.3157917	550000	6
8	125	4	53.3363983	-6.2887444	695000	6
8	91	2	53.3365641	-6.2736277	350000	5
2	52	2	53.3406893	-6.245319	395000	7
1	70	2	53.3503612	-6.2562012	325000	1
24	38	1	53.2777339	-6.4007725	120000	1
22	156	4	53.3190897	-6.393223	439950	6
8	60	2	53.3379582	-6.2745894	345000	7
4	86	2	53.3306369	-6.2236266	495000	1
6	130	2	53.3136563	-6.2520678	695000	1
11	149	4	53.3945149	-6.275447	575000	6
6	102	2	53.3282725	-6.2601016	475000	3
7	117	5	53.3562725	-6.2705753	510000	5
3	63	3	53.3541631	-6.231003	250000	7
8	98	3	53.3351293	-6.2921677	450000	7
9	169	3	53.3691884	-6.2544102	675000	7
24	86	3	53.2850227	-6.4110635	255000	6
15	130	4	53.3842938	-6.3680218	565000	6
22	90	3	53.3075695	-6.365461	325000	6
16	126	4	53.2733444	-6.3143767	545000	5
6	144	2	53.3036727	-6.2615952	950000	7
16	117	4	53.2913495	-6.2454413	595000	6
7	108	3	53.3639102	-6.3059483	575000	6
18	46	1	53.2686148	-6.243023	225000	1
3	104	3	53.3699973	-6.2343628	460000	7
18	100	3	53.271783	-6.1933509	595000	6
12	70	2	53.3275812	-6.3037719	325000	7
12	78	3	53.3262184	-6.327142	275000	7
5	108	3	53.3819676	-6.2053405	385000	6
4	388	5	53.3251833	-6.2220547	2500000	6
13	95	3	53.4048113	-6.1726604	270000	1
8	86	3	53.338703	-6.3090293	380000	7
4	248	4	53.3250898	-6.2219129	2000000	6
18	130	4	53.2716172	-6.1930448	665000	6
15	60	1	53.3888993	-6.4271118	220000	1
8	61	2	53.3373312	-6.3240432	325000	7
4	114	2	53.3328254	-6.2369642	995000	3
9	130	3	53.3691884	-6.2544102	750000	6
12	92	3	53.327712	-6.3282853	335000	7
7	56	2	53.3671308	-6.2870186	295000	7
66	222	4	53.3026798	-6.3099347	875000	6
5	111	3	53.386835	-6.210511	390000	6
13	102	3	53.3905328	-6.1434997	399000	5
12	80	2	53.3275812	-6.3037719	345000	5
14	83	3	53.2927195	-6.2722071	400000	7
1	52	2	53.3606737	-6.2618653	300000	1
2	122	3	53.3454014	-6.2361096	520000	4
5	85	2	53.3969067	-6.2021877	234950	7
6	57	1	53.3282075	-6.2785484	350000	2
7	45	2	53.3538541	-6.2930585	350000	7
3	97	3	53.3570047	-6.2414579	370000	7
6	165	4	53.3012741	-6.2959967	750000	7
3	83	2	53.3564139	-6.2334078	420000	7
16	155	3	53.2741884	-6.2414732	675000	6
16	155	3	53.2741884	-6.2414732	675000	6
5	76	3	53.3864877	-6.1868936	310000	5
3	95	3	53.3668231	-6.2500956	395000	4
4	76	2	53.3303989	-6.2313359	690000	5
12	79	2	53.3275812	-6.3037719	350000	5
5	118	3	53.384484	-6.1502317	500000	6
15	99	3	53.3711729	-6.3933915	450000	6
